,article_title,article_doi,article_author,article_author_index_name,article_author_affiliation,article_page_range,article_pub_date,article_pub_year,issue_section,issue_number,issue_title,issue_page_range,issue_pub_date,issue_pub_year,volume,journal,publisher,article_type
120,Book Review: Illustrious Immigrants,https://journals.sagepub.com/doi/pdf/10.1177/019791836800200316,Silvano M. Tomasi,"Tomasi, Silvano M","Center for Migration Studies Staten Island, N.Y.",87-89,"Jun 1, 1968",1968,Book Reviews,3,"International Migration Review - Volume 2, Number 3, Jun 01, 1968",,"Jun 01, 1968",1968,2,International Migration Review,Sage Publishing,review
121,Book Review: Down These Mean Strees,https://journals.sagepub.com/doi/pdf/10.1177/019791836800200317,F. Cordasco,"Cordasco, F",Montclair State College,89-89,"Jun 1, 1968",1968,Book Reviews,3,"International Migration Review - Volume 2, Number 3, Jun 01, 1968",,"Jun 01, 1968",1968,2,International Migration Review,Sage Publishing,review
122,Book Review: From Refugee to Citizen,https://journals.sagepub.com/doi/pdf/10.1177/019791836800200318,William S. Bernard,"Bernard, William S","Center for Migration Studies, Brooklyn College The City University of New York",89-91,"Jun 1, 1968",1968,Book Reviews,3,"International Migration Review - Volume 2, Number 3, Jun 01, 1968",,"Jun 01, 1968",1968,2,International Migration Review,Sage Publishing,review
123,"Book Review: Irish-American Nationalism, 1870–1890",https://journals.sagepub.com/doi/pdf/10.1177/019791836800200319,John B. Duff,"Duff, John B",Seton Hall University,91-92,"Jun 1, 1968",1968,Book Reviews,3,"International Migration Review - Volume 2, Number 3, Jun 01, 1968",,"Jun 01, 1968",1968,2,International Migration Review,Sage Publishing,review
124,Book Review: The People of New Jersey,https://journals.sagepub.com/doi/pdf/10.1177/019791836800200320,Robert V. Schauer,"Schauer, Robert V","West Orange, New Jersey",92-93,"Jun 1, 1968",1968,Book Reviews,3,"International Migration Review - Volume 2, Number 3, Jun 01, 1968",,"Jun 01, 1968",1968,2,International Migration Review,Sage Publishing,review
125,Book Review: The Immigrants’ Influence on Wilson's Peace Policies,https://journals.sagepub.com/doi/pdf/10.1177/019791836800200321,Frances Kraljic,"Kraljic, Frances",Georgian Court College,93-94,"Jun 1, 1968",1968,Book Reviews,3,"International Migration Review - Volume 2, Number 3, Jun 01, 1968",,"Jun 01, 1968",1968,2,International Migration Review,Sage Publishing,review
127,International Migration in Southern Africa,https://journals.sagepub.com/doi/pdf/10.1177/019791837601000401,Francis Wilson,"Wilson, Francis",,451-488,"Dec 1, 1976",1976,Article,4,"International Migration Review - Volume 10, Number 4, Dec 01, 1976",,"Dec 01, 1976",1976,10,International Migration Review,Sage Publishing,main
128,Determinants of the Brain Drain,https://journals.sagepub.com/doi/pdf/10.1177/019791837601000402,Alejandro Portes,"Portes, Alejandro",,489-508,"Dec 1, 1976",1976,Article,4,"International Migration Review - Volume 10, Number 4, Dec 01, 1976",,"Dec 01, 1976",1976,10,International Migration Review,Sage Publishing,main
130,Current Research and Findings on Migration of Workers at the Science Center Berlin,https://journals.sagepub.com/doi/pdf/10.1177/019791837601000404,Ayse Kudat,"Kudat, Ayse",,515-522,"Dec 1, 1976",1976,Article,4,"International Migration Review - Volume 10, Number 4, Dec 01, 1976",,"Dec 01, 1976",1976,10,International Migration Review,Sage Publishing,main
132,Administrative Developments of Interest,https://journals.sagepub.com/doi/pdf/10.1177/019791837601000406,"Austin T. Fragomen, Jr.","Fragomen, Austin T Jr",,527-530,"Dec 1, 1976",1976,Article,4,"International Migration Review - Volume 10, Number 4, Dec 01, 1976",,"Dec 01, 1976",1976,10,International Migration Review,Sage Publishing,main
133,Book Review: Greeks in Australia,https://journals.sagepub.com/doi/pdf/10.1177/019791837601000407,George A. Kourvetaris,"Kourvetaris, George A",Northern Illinois University,531-532,"Dec 1, 1976",1976,Book Reviews,4,"International Migration Review - Volume 10, Number 4, Dec 01, 1976",,"Dec 01, 1976",1976,10,International Migration Review,Sage Publishing,review
134,"Book Review: Taller de Migration. Conferencia de Historiografia: April, 1974",https://journals.sagepub.com/doi/pdf/10.1177/019791837601000408,Dorothy Dohen,"Dohen, Dorothy",Fordham University,532-533,"Dec 1, 1976",1976,Book Reviews,4,"International Migration Review - Volume 10, Number 4, Dec 01, 1976",,"Dec 01, 1976",1976,10,International Migration Review,Sage Publishing,review
135,Book Review: Years of Infamy,https://journals.sagepub.com/doi/pdf/10.1177/019791837601000409,Paul W. McBride,"McBride, Paul W",Ithaca College,533-536,"Dec 1, 1976",1976,Book Reviews,4,"International Migration Review - Volume 10, Number 4, Dec 01, 1976",,"Dec 01, 1976",1976,10,International Migration Review,Sage Publishing,review
136,Book Review: Jews in a Changing Neighborhood: The Study of Mattapan,https://journals.sagepub.com/doi/pdf/10.1177/019791837601000410,Walter P. Zenner,"Zenner, Walter P","State University of New York, Albany",537-538,"Dec 1, 1976",1976,Book Reviews,4,"International Migration Review - Volume 10, Number 4, Dec 01, 1976",,"Dec 01, 1976",1976,10,International Migration Review,Sage Publishing,review
137,Book Review: Valley City: A Chinese Community in America,https://journals.sagepub.com/doi/pdf/10.1177/019791837601000411,Betty Lee Sung,"Sung, Betty Lee",City College of New York,538-539,"Dec 1, 1976",1976,Book Reviews,4,"International Migration Review - Volume 10, Number 4, Dec 01, 1976",,"Dec 01, 1976",1976,10,International Migration Review,Sage Publishing,review
138,"Book Review: For God and Country: The Rise of Polish and Lithuanian Ethnic Consciousness in America, 1860–1910",https://journals.sagepub.com/doi/pdf/10.1177/019791837601000412,Richard A. Varbero,"Varbero, Richard A","State University of New York, New Paltz",539-540,"Dec 1, 1976",1976,Book Reviews,4,"International Migration Review - Volume 10, Number 4, Dec 01, 1976",,"Dec 01, 1976",1976,10,International Migration Review,Sage Publishing,review
139,Review of Reviews,https://journals.sagepub.com/doi/pdf/10.1177/019791837601000413,,,,541-560,"Dec 1, 1976",1976,Article,4,"International Migration Review - Volume 10, Number 4, Dec 01, 1976",,"Dec 01, 1976",1976,10,International Migration Review,Sage Publishing,main
140,International Newsletter on Migration,https://journals.sagepub.com/doi/pdf/10.1177/019791837601000414,,,,561-565,"Dec 1, 1976",1976,Article,4,"International Migration Review - Volume 10, Number 4, Dec 01, 1976",,"Dec 01, 1976",1976,10,International Migration Review,Sage Publishing,main
141,Books Received,https://journals.sagepub.com/doi/pdf/10.1177/019791837601000415,,,,567-571,"Dec 1, 1976",1976,Article,4,"International Migration Review - Volume 10, Number 4, Dec 01, 1976",,"Dec 01, 1976",1976,10,International Migration Review,Sage Publishing,main
143,Immigration and Living Arrangements: Elderly Women in Canada,https://journals.sagepub.com/doi/pdf/10.1177/019791839102500101,Monica Boyd,"Boyd, Monica",Carleton University,4-27,"Mar 1, 1991",1991,Article,1,"International Migration Review - Volume 25, Number 1, Mar 01, 1991",,"Mar 01, 1991",1991,25,International Migration Review,Sage Publishing,main
144,"Foreign-born Canadian Emigrants and Their Characteristics, (1981–1986)",https://journals.sagepub.com/doi/pdf/10.1177/019791839102500102,Margaret Michalowski,"Michalowski, Margaret",Statistics Canada,28-59,"Mar 1, 1991",1991,Article,1,"International Migration Review - Volume 25, Number 1, Mar 01, 1991",,"Mar 01, 1991",1991,25,International Migration Review,Sage Publishing,main
145,Long-term Immigration to the United States: New Approaches to Measurement,https://journals.sagepub.com/doi/pdf/10.1177/019791839102500103,Ellen Percy Kraly && Robert Warren,"Kraly, Ellen Percy && Warren, Robert", && ,60-92,"Mar 1, 1991",1991,Article,1,"International Migration Review - Volume 25, Number 1, Mar 01, 1991",,"Mar 01, 1991",1991,25,International Migration Review,Sage Publishing,main
146,Temporal and Spatial Patterns of Geographically Indirect Immigration to the United States,https://journals.sagepub.com/doi/pdf/10.1177/019791839102500104,Michael J. Greenwood && Eloise Trabka,"Greenwood, Michael J && Trabka, Eloise","University of Colorado, Boulder && University of Colorado, Boulder",93-112,"Mar 1, 1991",1991,Article,1,"International Migration Review - Volume 25, Number 1, Mar 01, 1991",,"Mar 01, 1991",1991,25,International Migration Review,Sage Publishing,main
147,"Secondary Earner Strategies and Family Poverty: Immigrant-native Differentials, 1960–1980",https://journals.sagepub.com/doi/pdf/10.1177/019791839102500105,Leif Jensen,"Jensen, Leif",Pennsylvania State University,113-140,"Mar 1, 1991",1991,Article,1,"International Migration Review - Volume 25, Number 1, Mar 01, 1991",,"Mar 01, 1991",1991,25,International Migration Review,Sage Publishing,main
148,The Relative Economic Progress of Male Foreign Workers in Kuwait,https://journals.sagepub.com/doi/pdf/10.1177/019791839102500106,Sulayman S. Al-Qudsi && Nasra M. Shah,"Al-Qudsi, Sulayman S && Shah, Nasra M", && ,141-166,"Mar 1, 1991",1991,Article,1,"International Migration Review - Volume 25, Number 1, Mar 01, 1991",,"Mar 01, 1991",1991,25,International Migration Review,Sage Publishing,main
151,Book Review: The Economic Consequences of Immigration,https://journals.sagepub.com/doi/pdf/10.1177/019791839102500109,Stephen J. Trejo,"Trejo, Stephen J","University of California, Santa Barbara",194-194,"Mar 1, 1991",1991,Book Reviews,1,"International Migration Review - Volume 25, Number 1, Mar 01, 1991",,"Mar 01, 1991",1991,25,International Migration Review,Sage Publishing,review
152,Book Review: New Identities in Europe,https://journals.sagepub.com/doi/pdf/10.1177/019791839102500110,Lynne Snowden,"Snowden, Lynne",Neumann College,195-195,"Mar 1, 1991",1991,Book Reviews,1,"International Migration Review - Volume 25, Number 1, Mar 01, 1991",,"Mar 01, 1991",1991,25,International Migration Review,Sage Publishing,review
153,Book Review: Central American Refugees and U.S. High Schools: A Psychosocial Study of Motivation and Achievement,https://journals.sagepub.com/doi/pdf/10.1177/019791839102500111,Harriett Romo,"Romo, Harriett",Southwest Texas State University,195-196,"Mar 1, 1991",1991,Book Reviews,1,"International Migration Review - Volume 25, Number 1, Mar 01, 1991",,"Mar 01, 1991",1991,25,International Migration Review,Sage Publishing,review
154,Book Review: Immigration and the Politics of Citizenship in Europe and North America,https://journals.sagepub.com/doi/pdf/10.1177/019791839102500112,Philip L. Martin,"Martin, Philip L","University of California, Davis",196-197,"Mar 1, 1991",1991,Book Reviews,1,"International Migration Review - Volume 25, Number 1, Mar 01, 1991",,"Mar 01, 1991",1991,25,International Migration Review,Sage Publishing,review
155,Book Review: The Boat People and Achievement in America,https://journals.sagepub.com/doi/pdf/10.1177/019791839102500113,Barbara A. Gianola,"Gianola, Barbara A",Rhode Island Department of Human Services Office of Refugee Resettlement,197-198,"Mar 1, 1991",1991,Book Reviews,1,"International Migration Review - Volume 25, Number 1, Mar 01, 1991",,"Mar 01, 1991",1991,25,International Migration Review,Sage Publishing,review
156,"Book Review: Victims and Survivors: Displaced Persons and Other War Victims in Viet-Nam, 1954–1975",https://journals.sagepub.com/doi/pdf/10.1177/019791839102500114,Barry Stein,"Stein, Barry",Michigan State University,198-199,"Mar 1, 1991",1991,Book Reviews,1,"International Migration Review - Volume 25, Number 1, Mar 01, 1991",,"Mar 01, 1991",1991,25,International Migration Review,Sage Publishing,review
157,Book Review: Organizing Puerto Rican Migrant Farmworkers: The Experience of Puerto Ricans in New Jersey,https://journals.sagepub.com/doi/pdf/10.1177/019791839102500115,Olga Jimenez Wagenheim,"Wagenheim, Olga Jimenez","Rutgers University, Newark",199-200,"Mar 1, 1991",1991,Book Reviews,1,"International Migration Review - Volume 25, Number 1, Mar 01, 1991",,"Mar 01, 1991",1991,25,International Migration Review,Sage Publishing,review
158,Book Review: The New Chinatown,https://journals.sagepub.com/doi/pdf/10.1177/019791839102500116,Chan Kwok Bun,"Bun, Chan Kwok",National University of Singapore,200-201,"Mar 1, 1991",1991,Book Reviews,1,"International Migration Review - Volume 25, Number 1, Mar 01, 1991",,"Mar 01, 1991",1991,25,International Migration Review,Sage Publishing,review
159,Book Review: Monte Carmelo: An Italian-American Community in the Bronx,https://journals.sagepub.com/doi/pdf/10.1177/019791839102500117,John W. Briggs,"Briggs, John W",Syracuse University,201-202,"Mar 1, 1991",1991,Book Reviews,1,"International Migration Review - Volume 25, Number 1, Mar 01, 1991",,"Mar 01, 1991",1991,25,International Migration Review,Sage Publishing,review
160,"Book Review: Multiculturalism and the Charter, A Legal Perspective",https://journals.sagepub.com/doi/pdf/10.1177/019791839102500118,Freda Hawkins,"Hawkins, Freda",University of Toronto,202-203,"Mar 1, 1991",1991,Book Reviews,1,"International Migration Review - Volume 25, Number 1, Mar 01, 1991",,"Mar 01, 1991",1991,25,International Migration Review,Sage Publishing,review
161,Book Review: Gipskattor Och Positiv—Italienare i Stockholm 1896–1910 (in translation from Swedish: Plaster Cats and Barrel-organs—Italians in Stockholm 1896–1910),https://journals.sagepub.com/doi/pdf/10.1177/019791839102500119,Jonas Widgren,"Widgren, Jonas",Geneva,203-204,"Mar 1, 1991",1991,Book Reviews,1,"International Migration Review - Volume 25, Number 1, Mar 01, 1991",,"Mar 01, 1991",1991,25,International Migration Review,Sage Publishing,review
162,"Book Review: Ideology and Immigration, Australia 1976 to 1987",https://journals.sagepub.com/doi/pdf/10.1177/019791839102500120,William L. Marr,"Marr, William L",Wilfrid Laurier University,204-205,"Mar 1, 1991",1991,Book Reviews,1,"International Migration Review - Volume 25, Number 1, Mar 01, 1991",,"Mar 01, 1991",1991,25,International Migration Review,Sage Publishing,review
164,International Newsletter on Migration,https://journals.sagepub.com/doi/pdf/10.1177/019791839102500122,,,,222-231,"Mar 1, 1991",1991,Article,1,"International Migration Review - Volume 25, Number 1, Mar 01, 1991",,"Mar 01, 1991",1991,25,International Migration Review,Sage Publishing,main
167,Immigrant Earnings: Cuban and Mexican Immigrants in the United States,https://journals.sagepub.com/doi/pdf/10.1177/019791838001400301,Alejandro Portes && Robert L. Bach,"Portes, Alejandro && Bach, Robert L",Duke University && State University of New York at Binghamton,315-341,"Sep 1, 1980",1980,Article,3,"International Migration Review - Volume 14, Number 3, Sep 01, 1980",,"Sep 01, 1980",1980,14,International Migration Review,Sage Publishing,main
168,A Wild Motley Throng: Immigrant Expenditures and the ‘American’ Standard of Living,https://journals.sagepub.com/doi/pdf/10.1177/019791838001400302,R.J. Morrison,"Morrison, RJ",Wellesley College,342-356,"Sep 1, 1980",1980,Article,3,"International Migration Review - Volume 14, Number 3, Sep 01, 1980",,"Sep 01, 1980",1980,14,International Migration Review,Sage Publishing,main
169,Jordanian Emigration: An Analysis of Migration Data,https://journals.sagepub.com/doi/pdf/10.1177/019791838001400303,Ahmad A. Hammouda,"Hammouda, Ahmad A",University of Jordan,357-382,"Sep 1, 1980",1980,Article,3,"International Migration Review - Volume 14, Number 3, Sep 01, 1980",,"Sep 01, 1980",1980,14,International Migration Review,Sage Publishing,main
170,Familism and Structural Assimilation of Mexican Immigrants in the United States,https://journals.sagepub.com/doi/pdf/10.1177/019791838001400304,Marta Tienda,"Tienda, Marta",University of Wisconsin-Madison,383-408,"Sep 1, 1980",1980,Article,3,"International Migration Review - Volume 14, Number 3, Sep 01, 1980",,"Sep 01, 1980",1980,14,International Migration Review,Sage Publishing,main
172,Book Review: The United States-Mexico Border: A Politico-Economic Profile,https://journals.sagepub.com/doi/pdf/10.1177/019791838001400306,"Vernon M. Briggs, Jr.","Briggs, Vernon M Jr","Cornell University, Ithaca",428-428,"Sep 1, 1980",1980,Book Reviews,3,"International Migration Review - Volume 14, Number 3, Sep 01, 1980",,"Sep 01, 1980",1980,14,International Migration Review,Sage Publishing,review
173,Book Review: Problems in Applied Educational Sociolinguistics: Readings on Language and Culture Problems of United States Ethnic Groups,https://journals.sagepub.com/doi/pdf/10.1177/019791838001400307,Joshua A. Fishman,"Fishman, Joshua A",Yeshiva Univeristy,428-429,"Sep 1, 1980",1980,Book Reviews,3,"International Migration Review - Volume 14, Number 3, Sep 01, 1980",,"Sep 01, 1980",1980,14,International Migration Review,Sage Publishing,review
174,"Book Review: Emigrant Gentlewomen: Genteel Poverty and Female Emigration, 1830–1914",https://journals.sagepub.com/doi/pdf/10.1177/019791838001400308,Betty Boyd Caroli,"Caroli, Betty Boyd",Kingsborough Community College of the City University of New York,429-430,"Sep 1, 1980",1980,Book Reviews,3,"International Migration Review - Volume 14, Number 3, Sep 01, 1980",,"Sep 01, 1980",1980,14,International Migration Review,Sage Publishing,review
175,"Book Review: Our Way: Family, Parish, and Neighborhood in a Polish-American Community",https://journals.sagepub.com/doi/pdf/10.1177/019791838001400309,John J. Bukowczyk,"Bukowczyk, John J",Connecticut College,430-431,"Sep 1, 1980",1980,Book Reviews,3,"International Migration Review - Volume 14, Number 3, Sep 01, 1980",,"Sep 01, 1980",1980,14,International Migration Review,Sage Publishing,review
176,Book Review: Migration in Brazil: Approaches to Analysis and Policy Design,https://journals.sagepub.com/doi/pdf/10.1177/019791838001400310,Thomas W. Merrick,"Merrick, Thomas W",Georgetown University,431-433,"Sep 1, 1980",1980,Book Reviews,3,"International Migration Review - Volume 14, Number 3, Sep 01, 1980",,"Sep 01, 1980",1980,14,International Migration Review,Sage Publishing,review
177,Book Review: Peasants and Poverty: A Case Study of Haiti,https://journals.sagepub.com/doi/pdf/10.1177/019791838001400311,Michel S. Laguerre,"Laguerre, Michel S",University of California at Berkeley,433-434,"Sep 1, 1980",1980,Book Reviews,3,"International Migration Review - Volume 14, Number 3, Sep 01, 1980",,"Sep 01, 1980",1980,14,International Migration Review,Sage Publishing,review
178,Book Review: The Brain Drain: Emigration and Return,https://journals.sagepub.com/doi/pdf/10.1177/019791838001400312,Edwin P. Reubens,"Reubens, Edwin P",The City College of New York,434-435,"Sep 1, 1980",1980,Book Reviews,3,"International Migration Review - Volume 14, Number 3, Sep 01, 1980",,"Sep 01, 1980",1980,14,International Migration Review,Sage Publishing,review
179,Book Review: The Migrant Presence: Australian Responses 1947–1977,https://journals.sagepub.com/doi/pdf/10.1177/019791838001400313,Desmond P. Cahill,"Cahill, Desmond P",Monash University,435-436,"Sep 1, 1980",1980,Book Reviews,3,"International Migration Review - Volume 14, Number 3, Sep 01, 1980",,"Sep 01, 1980",1980,14,International Migration Review,Sage Publishing,review
180,Book Review: Perspectives on Swedish Immigration,https://journals.sagepub.com/doi/pdf/10.1177/019791838001400314,Raymond E. Lindgren,"Lindgren, Raymond E","California State University, Long Beach",436-436,"Sep 1, 1980",1980,Book Reviews,3,"International Migration Review - Volume 14, Number 3, Sep 01, 1980",,"Sep 01, 1980",1980,14,International Migration Review,Sage Publishing,review
181,Book Review: The Ethnic Dimension in American History,https://journals.sagepub.com/doi/pdf/10.1177/019791838001400315,Leonard Dinnerstein,"Dinnerstein, Leonard",University of Arizona,436-437,"Sep 1, 1980",1980,Book Reviews,3,"International Migration Review - Volume 14, Number 3, Sep 01, 1980",,"Sep 01, 1980",1980,14,International Migration Review,Sage Publishing,review
182,Book Review: Research in Race and Ethnic Relations: A Research Annual,https://journals.sagepub.com/doi/pdf/10.1177/019791838001400316,Walter P. Zenner,"Zenner, Walter P",State University of New York at Albany,437-438,"Sep 1, 1980",1980,Book Reviews,3,"International Migration Review - Volume 14, Number 3, Sep 01, 1980",,"Sep 01, 1980",1980,14,International Migration Review,Sage Publishing,review
183,Book Review: Race and Class in the Southwest: A Theory of Racial Inequality,https://journals.sagepub.com/doi/pdf/10.1177/019791838001400317,Jane H. Lillydahl,"Lillydahl, Jane H",University of Colorado (Boulder),439-439,"Sep 1, 1980",1980,Book Reviews,3,"International Migration Review - Volume 14, Number 3, Sep 01, 1980",,"Sep 01, 1980",1980,14,International Migration Review,Sage Publishing,review
184,Review of Reviews,https://journals.sagepub.com/doi/pdf/10.1177/019791838001400318,,,,440-452,"Sep 1, 1980",1980,Article,3,"International Migration Review - Volume 14, Number 3, Sep 01, 1980",,"Sep 01, 1980",1980,14,International Migration Review,Sage Publishing,main
185,International Newsletter on Migration,https://journals.sagepub.com/doi/pdf/10.1177/019791838001400319,,,,453-456,"Sep 1, 1980",1980,Article,3,"International Migration Review - Volume 14, Number 3, Sep 01, 1980",,"Sep 01, 1980",1980,14,International Migration Review,Sage Publishing,main
187,Introduction,https://journals.sagepub.com/doi/pdf/10.1177/019791836400100101,,,,5-5,"Mar 1, 1964",1964,Article,1,"International Migration Review - Volume 1_OS, Number 1, Mar 01, 1964",,"Mar 01, 1964",1964,1_OS,International Migration Review,Sage Publishing,main
188,Acknowledgements,https://journals.sagepub.com/doi/pdf/10.1177/019791836400100102,,,,6-6,"Mar 1, 1964",1964,Article,1,"International Migration Review - Volume 1_OS, Number 1, Mar 01, 1964",,"Mar 01, 1964",1964,1_OS,International Migration Review,Sage Publishing,main
189,In Memoriam,https://journals.sagepub.com/doi/pdf/10.1177/019791836400100103,,,,7-7,"Mar 1, 1964",1964,Article,1,"International Migration Review - Volume 1_OS, Number 1, Mar 01, 1964",,"Mar 01, 1964",1964,1_OS,International Migration Review,Sage Publishing,main
190,Migrant Adjustment to City Life: The Egyptian Case,https://journals.sagepub.com/doi/pdf/10.1177/019791836400100104,Janet Abu-lughod,"Abu-lughod, Janet",,9-14,"Mar 1, 1964",1964,Article,1,"International Migration Review - Volume 1_OS, Number 1, Mar 01, 1964",,"Mar 01, 1964",1964,1_OS,International Migration Review,Sage Publishing,main
191,"The Application of the “Culture-conflict” Hypothesis
                                  

                                  to the Criminality of Immigrants in Israel",https://journals.sagepub.com/doi/pdf/10.1177/019791836400100105,Shlomo Shoham,"Shoham, Shlomo",,15-20,"Mar 1, 1964",1964,Article,1,"International Migration Review - Volume 1_OS, Number 1, Mar 01, 1964",,"Mar 01, 1964",1964,1_OS,International Migration Review,Sage Publishing,main
192,The Impact of Italian Migration and American Catholicism,https://journals.sagepub.com/doi/pdf/10.1177/019791836400100106,Frank Femminella,"Femminella, Frank",,21-24,"Mar 1, 1964",1964,Article,1,"International Migration Review - Volume 1_OS, Number 1, Mar 01, 1964",,"Mar 01, 1964",1964,1_OS,International Migration Review,Sage Publishing,main
193,Problems of Assimilation in Australia,https://journals.sagepub.com/doi/pdf/10.1177/019791836400100107,Ronald M. Berndt,"Berndt, Ronald M",,25-28,"Mar 1, 1964",1964,Article,1,"International Migration Review - Volume 1_OS, Number 1, Mar 01, 1964",,"Mar 01, 1964",1964,1_OS,International Migration Review,Sage Publishing,main
194,Value Assumptions in Recent Research on Migration,https://journals.sagepub.com/doi/pdf/10.1177/019791836400100108,Donald O. Cowgill,"Cowgill, Donald O",,29-33,"Mar 1, 1964",1964,Article,1,"International Migration Review - Volume 1_OS, Number 1, Mar 01, 1964",,"Mar 01, 1964",1964,1_OS,International Migration Review,Sage Publishing,main
196,Annual Immigration Quotas,https://journals.sagepub.com/doi/pdf/10.1177/019791836400100110,,,,47-51,"Mar 1, 1964",1964,Article,1,"International Migration Review - Volume 1_OS, Number 1, Mar 01, 1964",,"Mar 01, 1964",1964,1_OS,International Migration Review,Sage Publishing,main
197,Immigration Legislation Enacted in 1962,https://journals.sagepub.com/doi/pdf/10.1177/019791836400100111,,,,52-53,"Mar 1, 1964",1964,Article,1,"International Migration Review - Volume 1_OS, Number 1, Mar 01, 1964",,"Mar 01, 1964",1964,1_OS,International Migration Review,Sage Publishing,main
198,Status of Agricultural Workers under State and Federal Labor Laws,https://journals.sagepub.com/doi/pdf/10.1177/019791836400100112,,,,54-60,"Mar 1, 1964",1964,Article,1,"International Migration Review - Volume 1_OS, Number 1, Mar 01, 1964",,"Mar 01, 1964",1964,1_OS,International Migration Review,Sage Publishing,main
199,International Migration News,https://journals.sagepub.com/doi/pdf/10.1177/019791836400100113,,,,61-66,"Mar 1, 1964",1964,Article,1,"International Migration Review - Volume 1_OS, Number 1, Mar 01, 1964",,"Mar 01, 1964",1964,1_OS,International Migration Review,Sage Publishing,main
200,International Migration Notes,https://journals.sagepub.com/doi/pdf/10.1177/019791836400100114,,,,67-75,"Mar 1, 1964",1964,Article,1,"International Migration Review - Volume 1_OS, Number 1, Mar 01, 1964",,"Mar 01, 1964",1964,1_OS,International Migration Review,Sage Publishing,main
202,Migrants in Professional Occupations,https://journals.sagepub.com/doi/pdf/10.1177/019791836400100116,,,,82-87,"Mar 1, 1964",1964,Article,1,"International Migration Review - Volume 1_OS, Number 1, Mar 01, 1964",,"Mar 01, 1964",1964,1_OS,International Migration Review,Sage Publishing,main
203,Book Review: Die Italienische Einwanderung in Die Schweitz Mit Besonderer Beruchsichtingung Der Jahre 1946–1959,https://journals.sagepub.com/doi/pdf/10.1177/019791836400100117,Ernest Basile,"Basile, Ernest",,88-88,"Mar 1, 1964",1964,Book Reviews,1,"International Migration Review - Volume 1_OS, Number 1, Mar 01, 1964",,"Mar 01, 1964",1964,1_OS,International Migration Review,Sage Publishing,review
204,"Book Review: Beyond the Melting Pot — The Negroes, Puerto Ricans, Jews, Italians and Irish of New York City",https://journals.sagepub.com/doi/pdf/10.1177/019791836400100118,Silvano Tomasi,"Tomasi, Silvano",,89-90,"Mar 1, 1964",1964,Book Reviews,1,"International Migration Review - Volume 1_OS, Number 1, Mar 01, 1964",,"Mar 01, 1964",1964,1_OS,International Migration Review,Sage Publishing,review
205,Book Review: L'Emigrazione Italiana in Belgio,https://journals.sagepub.com/doi/pdf/10.1177/019791836400100119,Anthony Perotti,"Perotti, Anthony","Centro Studi d'Emigrazione Rome, Italy",90-92,"Mar 1, 1964",1964,Book Reviews,1,"International Migration Review - Volume 1_OS, Number 1, Mar 01, 1964",,"Mar 01, 1964",1964,1_OS,International Migration Review,Sage Publishing,review
206,Book Review: Gli Emigrati. L'altra Faccia del “Miracolo Economico”,https://journals.sagepub.com/doi/pdf/10.1177/019791836400100120,Silvano Tomasi,"Tomasi, Silvano",,92-94,"Mar 1, 1964",1964,Book Reviews,1,"International Migration Review - Volume 1_OS, Number 1, Mar 01, 1964",,"Mar 01, 1964",1964,1_OS,International Migration Review,Sage Publishing,review
207,Book Review: International Migrations since 1945,https://journals.sagepub.com/doi/pdf/10.1177/019791836400100121,John Sacchetti,"Sacchetti, John","Centro Studi d'Emigrazione Rome, Italy",94-95,"Mar 1, 1964",1964,Book Reviews,1,"International Migration Review - Volume 1_OS, Number 1, Mar 01, 1964",,"Mar 01, 1964",1964,1_OS,International Migration Review,Sage Publishing,review
208,Book Review: The Church's Magna Charta for Migrants,https://journals.sagepub.com/doi/pdf/10.1177/019791836400100122,Emil Iavazzo,"Iavazzo, Emil",,95-96,"Mar 1, 1964",1964,Book Reviews,1,"International Migration Review - Volume 1_OS, Number 1, Mar 01, 1964",,"Mar 01, 1964",1964,1_OS,International Migration Review,Sage Publishing,review
209,Recent Books on Migration,https://journals.sagepub.com/doi/pdf/10.1177/019791836400100123,,,,97-100,"Mar 1, 1964",1964,Article,1,"International Migration Review - Volume 1_OS, Number 1, Mar 01, 1964",,"Mar 01, 1964",1964,1_OS,International Migration Review,Sage Publishing,main
210,Foreign Workers in Israel: History and Theory,https://journals.sagepub.com/doi/pdf/10.1177/019791839803200201,David V. Bartram,"Bartram, David V",University of Wisconsin – Madison,303-325,"Jun 1, 1998",1998,Article,2,"International Migration Review - Volume 32, Number 2, Jun 01, 1998",,"Jun 01, 1998",1998,32,International Migration Review,Sage Publishing,main
211,"Different Paths: Gender, Immigration and Political Participation",https://journals.sagepub.com/doi/pdf/10.1177/019791839803200202,Michael Jones-Correa,"Jones-Correa, Michael",Harvard University,326-349,"Jun 1, 1998",1998,Article,2,"International Migration Review - Volume 32, Number 2, Jun 01, 1998",,"Jun 01, 1998",1998,32,International Migration Review,Sage Publishing,main
212,"Discourse, Politics and Policy: The Dutch Parliamentary Debate about Voting Rights for Foreign Residents",https://journals.sagepub.com/doi/pdf/10.1177/019791839803200203,Dirk Jacobs,"Jacobs, Dirk",Utrecht University,350-373,"Jun 1, 1998",1998,Article,2,"International Migration Review - Volume 32, Number 2, Jun 01, 1998",,"Jun 01, 1998",1998,32,International Migration Review,Sage Publishing,main
